iter	Accuracy	Logloss
0	0.7634878638	0.6804025337
1	0.7809731968	0.6681476075
2	0.7806280916	0.6579072321
3	0.7837340389	0.6482737969
4	0.7839641091	0.6387106866
5	0.787875302	0.629876089
6	0.7864948809	0.6206123006
7	0.7875301967	0.6126356456
8	0.7870700564	0.6040089913
9	0.7904060739	0.5954265816
10	0.7909812493	0.5875823713
11	0.7894857932	0.5804726195
12	0.7908662142	0.5729939318
13	0.7929368457	0.5670475967
14	0.7924767054	0.5606286943
15	0.7948924422	0.5562327452
16	0.7948924422	0.5520251218
17	0.7955826527	0.5466161098
18	0.7955826527	0.5431075017
19	0.7963878983	0.5390687756
20	0.7965029334	0.5349588037
21	0.7955826527	0.5306609708
22	0.795927758	0.5269284143
23	0.7965029334	0.5235433427
24	0.7967330036	0.5197039003
25	0.7963878983	0.5171303494
26	0.7968480387	0.5141192719
27	0.7985735649	0.5111685052
28	0.7983434948	0.50862209
29	0.7989186702	0.5060449739
30	0.7989186702	0.5027638391
31	0.7982284597	0.4996002003
32	0.7984585299	0.4974425467
33	0.7981134246	0.4950850692
34	0.7955826527	0.4925159084
35	0.7989186702	0.4906525535
36	0.7978833544	0.4881502321
37	0.7962728632	0.4856563134
38	0.797308179	0.4832828934
39	0.7982284597	0.4815171233
40	0.7975382492	0.4791313018
41	0.7983434948	0.4776719294
42	0.7977683193	0.4760382845
43	0.7977683193	0.4745981503
44	0.7988036351	0.4732007424
45	0.7985735649	0.4717019352
46	0.7986886	0.4700355725
47	0.7992637755	0.4687227197
48	0.7990337053	0.4674832162
49	0.7991487404	0.466106785
50	0.7997239158	0.4646140924
51	0.8000690211	0.4630758172
52	0.8001840561	0.4618509145
53	0.8004141263	0.4606050251
54	0.8009893017	0.4594091454
55	0.8007592316	0.4579878588
56	0.8015644772	0.4570741117
57	0.8020246175	0.4560770328
58	0.8021396526	0.454807824
59	0.8019095824	0.453694291
60	0.8035200736	0.4528783081
61	0.8037501438	0.4518561498
62	0.803980214	0.4509411409
63	0.8037501438	0.450175407
64	0.8042102841	0.4492852431
