iter	Passed	Remaining
0	2	2994
1	5	2885
2	8	2740
3	10	2670
4	13	2686
5	16	2667
6	18	2637
7	21	2625
8	23	2606
9	26	2591
10	28	2582
11	31	2582
12	34	2590
13	36	2573
14	39	2561
15	41	2549
16	44	2564
17	46	2560
18	49	2571
19	52	2562
20	54	2561
21	57	2555
22	61	2597
23	63	2598
24	67	2614
25	70	2630
26	73	2641
27	76	2640
28	78	2643
29	81	2647
30	84	2648
31	87	2648
32	90	2662
33	93	2662
34	96	2659
35	99	2663
36	102	2670
37	105	2667
38	108	2665
39	110	2661
40	113	2659
41	116	2661
42	120	2672
43	122	2670
44	125	2665
45	128	2664
46	131	2663
47	134	2670
48	137	2665
49	140	2661
50	142	2659
51	145	2652
52	148	2652
53	151	2648
54	153	2641
55	156	2639
56	159	2632
57	161	2630
58	165	2632
59	167	2630
60	170	2627
61	173	2621
62	176	2617
63	178	2615
64	181	2615
65	184	2613
66	187	2609
67	190	2605
68	192	2603
69	195	2599
70	198	2594
71	200	2589
72	203	2583
73	206	2580
74	209	2585
75	212	2585
76	215	2583
77	218	2581
78	221	2579
79	223	2574
80	226	2571
81	229	2568
82	232	2565
83	234	2562
84	237	2561
85	240	2556
86	243	2552
87	245	2549
88	248	2545
89	251	2542
90	254	2538
91	256	2535
92	259	2531
93	262	2527
94	264	2523
95	267	2519
96	270	2513
97	272	2508
98	275	2507
99	278	2507
100	281	2505
101	284	2504
102	287	2500
103	289	2496
104	292	2490
105	294	2486
106	297	2481
107	299	2476
108	302	2472
109	305	2468
110	307	2465
111	310	2460
112	313	2457
113	315	2453
114	318	2450
115	320	2445
116	323	2443
117	326	2440
118	329	2438
119	332	2436
120	334	2431
121	337	2427
122	339	2424
123	342	2421
124	345	2417
125	347	2413
126	350	2408
127	353	2408
128	356	2404
129	359	2402
130	361	2399
131	364	2397
132	367	2393
133	369	2389
134	372	2388
135	375	2385
136	377	2380
137	380	2376
138	383	2373
139	385	2369
140	388	2367
141	391	2363
142	393	2360
143	396	2356
144	399	2353
145	402	2351
146	404	2349
147	407	2346
148	410	2343
149	413	2341
150	415	2337
151	418	2334
152	421	2331
153	423	2328
154	426	2325
155	429	2323
156	432	2320
157	434	2316
158	437	2313
159	439	2309
160	442	2306
161	445	2303
162	447	2300
163	450	2297
164	453	2294
165	455	2288
166	458	2285
167	460	2282
168	463	2279
169	466	2277
170	469	2274
171	471	2271
172	474	2268
173	477	2265
174	479	2261
175	482	2259
176	485	2256
177	487	2252
178	490	2249
179	493	2246
180	494	2239
181	497	2236
182	500	2234
183	503	2231
184	505	2228
185	508	2225
186	511	2223
187	513	2218
188	516	2215
189	523	2230
190	525	2227
191	528	2224
192	531	2221
193	533	2218
194	536	2216
195	539	2212
196	541	2208
197	544	2206
198	547	2203
199	549	2199
200	552	2197
201	555	2194
202	558	2191
203	560	2188
204	563	2185
205	566	2182
206	569	2179
207	571	2177
208	574	2174
209	577	2171
210	580	2169
211	582	2165
212	585	2162
213	588	2160
214	590	2157
215	593	2154
216	596	2151
217	599	2149
218	601	2144
219	604	2141
220	606	2138
221	609	2135
222	612	2132
223	614	2129
224	617	2127
225	620	2123
226	622	2120
227	625	2117
228	628	2115
229	630	2112
230	633	2109
231	636	2105
232	638	2102
233	641	2099
234	644	2096
235	646	2093
236	649	2091
237	652	2087
238	654	2085
239	657	2083
240	660	2080
241	663	2077
242	665	2074
243	668	2071
244	671	2067
245	673	2065
246	676	2062
247	679	2059
248	681	2056
249	684	2053
250	687	2050
251	689	2047
252	692	2044
253	695	2041
254	697	2038
255	700	2035
256	703	2033
257	705	2030
258	708	2027
259	711	2025
260	714	2022
261	716	2019
262	720	2018
263	722	2015
264	725	2013
265	728	2010
266	731	2007
267	734	2004
268	736	2001
269	739	1998
270	741	1995
271	744	1993
272	747	1990
273	749	1987
274	753	1985
275	756	1984
276	759	1982
277	762	1980
278	765	1977
279	768	1975
280	771	1973
281	774	1971
282	777	1968
283	779	1965
284	782	1962
285	785	1959
286	787	1956
287	790	1953
288	792	1950
289	795	1947
290	798	1944
291	800	1941
292	803	1939
293	806	1936
294	808	1933
295	811	1929
296	813	1926
297	816	1923
298	819	1920
299	822	1918
300	824	1915
301	827	1912
302	830	1909
303	832	1906
304	835	1903
305	838	1900
306	840	1898
307	843	1895
308	846	1892
309	848	1889
310	851	1886
311	854	1883
312	856	1880
313	859	1877
314	862	1874
315	864	1871
316	867	1868
317	869	1865
318	872	1862
319	875	1859
320	877	1856
321	880	1853
322	882	1850
323	885	1847
324	888	1844
325	890	1841
326	893	1838
327	895	1835
328	898	1832
329	901	1830
330	904	1827
331	906	1824
332	909	1821
333	911	1818
334	914	1815
335	917	1812
336	919	1809
337	922	1807
338	925	1804
339	927	1800
340	930	1798
341	932	1794
342	935	1792
343	938	1789
344	941	1786
345	943	1784
346	946	1781
347	948	1777
348	951	1775
349	954	1772
350	956	1769
351	959	1766
352	962	1763
353	964	1760
354	967	1757
355	970	1755
356	972	1752
357	975	1749
358	978	1746
359	980	1743
360	983	1741
361	986	1738
362	989	1735
363	991	1732
364	994	1729
365	996	1726
366	999	1724
367	1002	1721
368	1005	1718
369	1007	1715
370	1010	1712
371	1013	1710
372	1016	1707
373	1018	1704
374	1021	1701
375	1023	1699
376	1026	1695
377	1029	1693
378	1031	1690
379	1034	1687
380	1037	1685
381	1039	1682
382	1042	1679
383	1045	1676
384	1047	1673
385	1050	1670
386	1053	1668
387	1055	1665
388	1058	1662
389	1061	1660
390	1063	1657
391	1066	1654
392	1069	1651
393	1072	1648
394	1074	1645
395	1077	1643
396	1079	1640
397	1082	1637
398	1085	1634
399	1087	1631
400	1090	1629
401	1093	1626
402	1095	1623
403	1098	1620
404	1101	1617
405	1103	1614
406	1107	1612
407	1109	1610
408	1112	1607
409	1115	1604
410	1118	1602
411	1120	1599
412	1123	1596
413	1126	1594
414	1128	1591
415	1131	1588
416	1134	1585
417	1136	1582
418	1139	1579
419	1141	1576
420	1144	1573
421	1147	1571
422	1150	1568
423	1152	1565
424	1155	1563
425	1158	1560
426	1160	1557
427	1163	1554
428	1166	1552
429	1168	1549
430	1171	1546
431	1173	1543
432	1176	1540
433	1179	1537
434	1181	1534
435	1184	1532
436	1187	1529
437	1190	1527
438	1192	1524
439	1195	1521
440	1198	1519
441	1201	1516
442	1203	1513
443	1206	1511
444	1209	1508
445	1212	1505
446	1214	1503
447	1217	1500
448	1220	1497
449	1222	1494
450	1225	1491
451	1227	1488
452	1230	1485
453	1233	1483
454	1235	1480
455	1238	1477
456	1241	1475
457	1244	1472
458	1246	1469
459	1249	1466
460	1251	1463
461	1254	1460
462	1257	1458
463	1259	1455
464	1262	1452
465	1265	1450
466	1268	1447
467	1270	1444
468	1273	1441
469	1275	1438
470	1278	1435
471	1281	1433
472	1283	1430
473	1286	1427
474	1288	1424
475	1291	1421
476	1294	1419
477	1296	1416
478	1299	1413
479	1302	1410
480	1305	1408
481	1307	1405
482	1310	1402
483	1313	1399
484	1315	1396
485	1318	1394
486	1321	1391
487	1323	1388
488	1326	1386
489	1329	1383
490	1331	1380
491	1334	1377
492	1336	1374
493	1339	1371
494	1341	1369
495	1344	1366
496	1347	1363
497	1350	1361
498	1353	1358
499	1355	1355
500	1358	1352
501	1361	1350
502	1363	1347
503	1366	1344
504	1368	1341
505	1371	1339
506	1374	1336
507	1377	1333
508	1380	1331
509	1382	1328
510	1385	1325
511	1388	1323
512	1391	1320
513	1394	1318
514	1396	1315
515	1399	1312
516	1402	1310
517	1405	1307
518	1408	1305
519	1411	1302
520	1413	1299
521	1416	1297
522	1419	1295
523	1422	1292
524	1425	1289
525	1428	1286
526	1430	1283
527	1433	1281
528	1436	1278
529	1438	1275
530	1441	1273
531	1444	1270
532	1446	1267
533	1449	1265
534	1452	1262
535	1455	1259
536	1457	1256
537	1461	1255
538	1464	1252
539	1468	1250
540	1471	1248
541	1474	1246
542	1477	1243
543	1481	1241
544	1484	1239
545	1488	1237
546	1491	1235
547	1496	1234
548	1501	1233
549	1504	1231
550	1508	1228
551	1511	1226
552	1514	1224
553	1517	1221
554	1520	1219
555	1523	1216
556	1526	1214
557	1529	1211
558	1532	1209
559	1535	1206
560	1538	1204
561	1541	1201
562	1544	1198
563	1546	1195
564	1549	1193
565	1552	1190
566	1555	1187
567	1557	1184
568	1560	1181
569	1562	1178
570	1565	1176
571	1568	1173
572	1570	1170
573	1573	1167
574	1575	1164
575	1578	1162
576	1581	1159
577	1583	1156
578	1586	1153
579	1589	1150
580	1592	1148
581	1594	1145
582	1597	1142
583	1600	1139
584	1602	1137
585	1605	1134
586	1608	1131
587	1610	1128
588	1613	1125
589	1616	1123
590	1618	1120
591	1621	1117
592	1624	1114
593	1627	1112
594	1629	1109
595	1632	1106
596	1635	1103
597	1637	1101
598	1640	1098
599	1643	1095
600	1645	1092
601	1648	1089
602	1651	1086
603	1653	1084
604	1656	1081
605	1659	1078
606	1661	1075
607	1664	1073
608	1667	1070
609	1669	1067
610	1672	1064
611	1675	1062
612	1678	1059
613	1680	1056
614	1683	1054
615	1686	1051
616	1689	1048
617	1692	1046
618	1695	1043
619	1698	1040
620	1700	1038
621	1703	1035
622	1706	1032
623	1709	1029
624	1712	1027
625	1714	1024
626	1717	1021
627	1720	1018
628	1722	1016
629	1725	1013
630	1728	1010
631	1731	1008
632	1734	1005
633	1736	1002
634	1739	999
635	1742	997
636	1744	994
